,Unnamed: 0,AB,Age,BB,from,G,H,HR,OPS,PA,R,SB,SO,to,WAR,experience,names,Zero,Year_difference
12658,12658,22,22.072,0,2001,14,2,0,0.22699999999999998,23,0,0,5,2002,-0.2,2,Nick Neugebauer,0,1
12660,12660,1,27.361,0,2000,19,0,0,0.0,1,0,0,0,2002,0.0,3,Doug Nickle,0,2
12662,12662,0,33.125,0,2002,21,0,0,,0,0,0,0,2002,0.0,1,Takahito Nomura,0,0
12663,12663,3,23.018,0,2001,59,0,0,0.0,3,0,0,2,2002,0.0,2,Jose Nunez,0,1
12667,12667,449,25.105999999999998,35,2000,136,109,14,0.684,498,68,6,74,2002,-0.2,3,Jose Ortiz,0,2
12668,12668,3,25.142,0,2001,6,0,0,0.0,4,0,0,1,2002,-0.1,2,Jimmy Osting,0,1
12669,12669,0,30.154,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Terry Pearson,0,0
12670,12670,8,26.041999999999998,0,2002,3,2,0,0.5,8,0,0,0,2002,-0.1,1,Alex Pelaez,0,0
12671,12671,1,24.125,0,2002,4,0,0,0.0,1,0,0,1,2002,0.0,1,Dave Pember,0,0
12673,12673,25,29.331999999999997,0,2000,18,2,0,0.16,25,1,0,6,2002,-0.5,2,Chan Perry,0,2
12675,12675,5,27.131,0,2002,15,0,0,0.0,5,0,0,3,2002,-0.1,1,Kevin Pickford,0,0
12676,12676,3,27.256,0,2001,26,0,0,0.0,3,0,0,2,2002,0.0,2,Luis Pineda,0,1
12677,12677,41,24.180999999999997,0,2000,34,7,0,0.366,49,1,0,15,2002,0.1,3,Luke Prokopec,0,2
12684,12684,1,27.206999999999997,0,2000,8,0,0,0.0,1,0,0,1,2002,0.0,2,Jose Rodriguez,0,2
12686,12686,77,28.189,6,2002,23,11,1,0.42200000000000004,84,8,0,9,2002,-1.1,1,Jim Rushford,0,0
12688,12688,6,25.09,0,2002,2,0,0,0.0,6,0,0,4,2002,-0.1,1,Shawn Sedlacek,0,0
12692,12692,39,22.269000000000002,2,2001,25,7,0,0.425,46,0,0,9,2002,0.1,2,Bud Smith,0,1
12693,12693,0,26.134,0,2001,0,0,0,,0,0,0,0,2002,0.0,2,Roy Smith,0,1
