hour, t(sec), S1 (kVA), Ang1
623, 0.00000, 0.145917, 25.8403
624, 0.00000, 0.0697935, 25.8413
625, 0.00000, 0.0418342, 25.8415
626, 0.00000, 0.0419221, 25.8415
627, 0.00000, 0.0464029, 25.8415
628, 0.00000, 0.0783448, 25.8412
629, 0.00000, 0.164706, 25.8406
630, 0.00000, 0.2775, 25.84
631, 0.00000, 0.331467, 25.8392
632, 0.00000, 0.277499, 25.8389
633, 0.00000, 0.0418661, 25.8415
634, 0.00000, 0.0463341, 25.8415
635, 0.00000, 0.0781488, 25.8413
636, 0.00000, 0.163838, 25.8416
637, 0.00000, 0.275031, 25.8428
638, 0.00000, 0.327937, 25.8409
639, 0.00000, 0.275027, 25.8376
640, 0.00000, 0.164911, 25.8397
641, 0.00000, 0.0785338, 25.8413
642, 0.00000, 0.0465612, 25.8415
643, 0.00000, 0.0420974, 25.8415
644, 0.00000, 0.0420294, 25.8415
645, 0.00000, 0.0702931, 25.8415
646, 0.00000, 0.148488, 25.8436
647, 0.00000, 0.253113, 25.8379
648, 0.00000, 0.354641, 25.8391
649, 0.00000, 0.427672, 25.8401
650, 0.00000, 0.454454, 25.8383
651, 0.00000, 0.42664, 25.8379
652, 0.00000, 0.35194, 25.8378
653, 0.00000, 0.249285, 25.8389
654, 0.00000, 0.145917, 25.8403
655, 0.00000, 0.0697935, 25.8413
656, 0.00000, 0.0418342, 25.8415
657, 0.00000, 0.0419221, 25.8415
658, 0.00000, 0.0464029, 25.8415
659, 0.00000, 0.0783448, 25.8412
660, 0.00000, 0.164706, 25.8406
661, 0.00000, 0.2775, 25.84
662, 0.00000, 0.331467, 25.8392
663, 0.00000, 0.277499, 25.8389
664, 0.00000, 0.164911, 25.8401
665, 0.00000, 0.0785338, 25.8413
666, 0.00000, 0.0465612, 25.8415
667, 0.00000, 0.0420974, 25.8415
668, 0.00000, 0.0420294, 25.8415
669, 0.00000, 0.0705963, 25.8424
670, 0.00000, 0.14867, 25.8426
671, 0.00000, 0.253113, 25.8375
672, 0.00000, 0.354641, 25.8391
673, 0.00000, 0.427672, 25.8401
674, 0.00000, 0.454454, 25.8383
675, 0.00000, 0.42664, 25.8379
676, 0.00000, 0.35194, 25.8378
677, 0.00000, 0.249285, 25.8389
678, 0.00000, 0.145917, 25.8403
679, 0.00000, 0.0697935, 25.8413
680, 0.00000, 0.0418342, 25.8415
681, 0.00000, 0.0419221, 25.8415
